# seed library for xarm7 (Halton joints + FK forward + voxel dedup)
# version: v1.1  base_version: v1 (entries=8000)
# increment: 姿态感知覆盖驱动拒绝采样 +4000 (组合度量 gap>0.05), 2026-09-17 14:01
# generated: 2026-09-17 14:01  urdf=/tmp/verify_xarm7.urdf (verify_robot.sh 产物)
# entries=12000 voxel=0.03m orient_bucket=0.5
# 查询端参数 (dls_ik): 组合度量 dp + 0.35*(1-|q·q'|), 分支封顶<=2, top-6
# format: qw qx qy qz x y z | j1 .. j7 br   (br = L1 最近分支 0-3, 查询端封顶选种用)
0.617179 0.049487 -0.726725 -0.297508 0.219097 -0.403196 0.343977 | -4.405030 -0.490979 -2.663350 1.531255 -0.851664 2.516762 2.090932 3
0.601857 0.597573 -0.315352 0.425710 -0.138963 0.489077 0.303279 | 1.878156 0.893487 -0.150076 2.119681 0.290733 2.888651 2.830130 0
0.525846 0.223580 0.245593 0.783059 -0.049551 0.578907 0.366550 | -1.263437 -1.413957 2.363198 2.708106 1.433130 -1.545415 3.569328 2
0.726792 -0.333722 -0.378203 0.466225 -0.058558 0.061348 0.867771 | 5.019748 -0.029490 4.876472 3.296532 2.575528 -1.173526 4.308526 2
0.532963 -0.052095 0.456316 0.710643 0.403552 0.405336 0.448263 | -5.190428 1.354976 -4.673969 3.884958 3.717925 -0.801636 5.047725 0
0.328646 -0.731170 -0.273397 -0.531635 0.173922 0.041456 0.232652 | 1.092758 -0.952468 -2.160695 -0.137953 4.860322 -0.429747 5.786923 3
0.015503 -0.642322 0.760649 -0.092704 -0.004692 -0.341908 0.092214 | -2.048835 0.431998 0.352579 0.450473 6.002720 -0.057858 -5.996767 1
0.974040 -0.200410 0.090965 0.052991 0.031595 -0.307108 0.687457 | 4.234350 1.816465 2.865853 1.038899 -5.317399 0.314032 -5.257569 1
0.038415 -0.292395 0.012481 -0.955444 0.576774 0.153625 0.522603 | -3.619631 -1.721616 5.379127 1.627324 -4.175002 0.685921 -4.518371 2
0.856938 0.063471 0.076104 0.505803 0.203684 -0.439015 0.839352 | 2.663554 -0.337150 -4.171314 2.215750 -3.032605 1.057811 -3.779172 3
0.396708 -0.119293 0.175169 0.893145 0.484162 -0.351612 0.711445 | -0.478039 1.047317 -1.658040 2.804176 -1.890207 1.429700 -3.039974 1
0.945268 0.071697 0.173496 0.266883 -0.600490 0.220011 0.502636 | 5.805147 -1.260127 0.855234 3.392602 -0.747810 1.801590 -2.300776 2
0.755053 -0.430542 0.248864 -0.427312 0.033963 -0.030936 0.211144 | -5.583127 0.124339 3.368508 -0.053892 0.394587 2.173479 -1.561577 2
0.552269 -0.398510 0.477184 0.555413 0.064651 0.057129 -0.023601 | 0.700058 1.508806 5.881782 0.534534 1.536985 2.545368 -0.822379 2
0.384579 -0.752026 -0.099223 -0.526033 0.067321 -0.092768 0.741858 | -2.441534 -0.798639 -6.081403 1.122960 2.679382 2.917258 -0.083181 3
0.108845 0.069768 0.836405 0.532646 0.112387 -0.003821 0.718571 | 3.841651 0.585828 -3.568129 1.711385 3.821779 -1.516808 0.656017 3
0.134479 -0.101114 -0.982473 0.080244 -0.194400 0.431875 -0.149801 | -4.012330 1.970295 -1.054855 2.299811 4.964177 -1.144919 1.395216 0
0.064882 -0.789562 0.359066 -0.493410 0.436713 -0.446616 -0.030878 | 2.270855 -1.977999 1.458420 2.888237 6.106574 -0.773030 2.134414 2
0.285235 -0.213123 -0.316073 -0.879385 -0.028883 0.364575 0.826591 | -0.870738 -0.593532 3.971694 3.476662 -5.213545 -0.401140 2.873612 2
0.315461 -0.917400 -0.136629 0.200483 -0.003117 0.025549 0.085253 | 5.412447 0.790934 -5.578748 0.030169 -4.071148 -0.029251 3.612810 3
0.035607 -0.058000 0.959201 0.274411 0.038135 0.036267 -0.085000 | -4.797729 -1.516510 -3.065474 0.618595 -2.928750 0.342639 4.352009 3
0.661898 -0.051324 0.738516 0.117691 0.309171 0.380634 0.523639 | 1.485457 -0.132044 -0.552200 1.207020 -1.786353 0.714528 5.091207 0
0.182211 -0.839107 -0.102371 -0.502214 0.430233 -0.397730 0.551396 | -1.656136 1.252423 1.961074 1.795446 -0.643956 1.086418 5.830405 0
0.310241 -0.377760 -0.597706 0.635449 -0.299319 0.573943 0.529610 | 4.627049 -1.055021 4.474349 2.383872 0.498442 1.458307 -5.953285 2
0.349955 -0.460711 0.499887 -0.644508 -0.141419 -0.060305 0.952840 | -3.226932 0.329445 -5.076093 2.972298 1.640839 1.830196 -5.214087 3
0.413020 0.605245 0.580103 0.355771 -0.498195 -0.066406 -0.051464 | 3.056253 1.713912 -2.562819 3.560723 2.783236 2.202086 -4.474888 1
0.357232 -0.464475 -0.517125 0.623883 -0.079479 -0.087682 0.497653 | -0.085340 -1.824169 -0.049545 0.114230 3.925634 2.573975 -3.735690 1
0.351402 -0.067374 0.196446 -0.912900 -0.162666 0.243646 0.315838 | 6.197846 -0.439703 2.463729 0.702655 5.068031 2.945865 -2.996492 2
0.811667 0.019004 0.540596 -0.220433 0.397694 -0.327634 0.412205 | -6.221263 0.944764 4.977003 1.291081 6.210428 -1.488202 -2.257293 1
0.057758 0.616018 -0.102933 -0.778839 -0.589741 0.256024 0.351252 | 0.061922 -1.362681 -4.573438 1.879507 -6.242647 -1.116312 -1.518095 3
0.569209 -0.272388 0.226279 -0.742027 0.163671 0.118098 0.924108 | -3.079670 0.021786 -2.060164 2.467933 -5.100249 -0.744423 -0.778897 1
0.137776 -0.778181 -0.150830 0.593887 -0.706077 -0.010188 0.274920 | 3.203515 1.406253 0.453110 3.056358 -3.957852 -0.372533 -0.039699 1
0.932095 0.171304 0.112958 -0.298487 0.079235 -0.427729 0.809607 | -4.650466 -0.901192 2.966384 3.644784 -2.815455 -0.000644 0.699500 2
